Unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
0,51.0,no,desconocido,2015.7222222222224,desconocido,6,3,desconocido,1,1,female,69.53208262471655,3,5,research_director,3,desconocido,16280.83,42330.17,7,Y,No,13,3.0,3,Full Time,0,10.0,5,3.0,20,15,15,1972,195370.0,yes
1,52.0,no,desconocido,2063.3888888888887,desconocido,1,4,Life Sciences,2,3,female,69.53208262471655,2,5,manager,3,desconocido,4492.84,43331.17,0,desconocido,desconocido,14,3.0,1,desconocido,1,34.0,5,3.0,33,11,9,1971,199990.0,1
2,42.0,no,travel_rarely,1984.253968253968, Research & Development ,4,2,Technical Degree,3,3,female,69.53208262471655,3,5,manager,4,Married,4492.84,41669.33,1,desconocido,No,11,3.0,4,desconocido,0,22.0,3,3.0,22,11,15,1981,192320.0,1
3,47.0,no,travel_rarely,1771.4047619047622,desconocido,2,4,Medical,4,1,male,69.53208262471655,3,4,research_director,3,Married,14307.5,37199.5,3,Y,desconocido,19,3.0,2,Full Time,2,10.0,2,3.0,20,5,6,1976,171690.0,false
4,46.0,no,desconocido,1582.7713464696226,desconocido,3,3,Technical Degree,5,1,male,69.53208262471655,4,4,sales_executive,1,Divorced,12783.92,33238.2,2,Y,No,12,3.0,4,desconocido,1,10.0,5,3.0,19,2,8,1977,53914.11,0
5,48.0,no,desconocido,1771.920634920635, Research & Development ,22,3,Medical,6,4,male,69.53208262471655,3,4,manager,4,desconocido,14311.67,37210.33,3,desconocido,No,11,3.0,2,desconocido,1,10.0,3,3.0,22,4,7,1975,53914.11,yes
6,59.0,no,desconocido,1032.4872861766066,desconocido,25,3,Life Sciences,7,1,male,69.53208262471655,3,3,sales_executive,1,desconocido,8339.32,21682.23,7,Y,desconocido,11,3.0,4,Part Time,0,28.0,3,2.0,21,7,9,1964,100071.84,true
7,42.0,no,travel_rarely,556.2566609977324,desconocido,1,1,desconocido,8,2,female,69.53208262471655,3,2,sales_executive,3,Married,4492.84,11681.39,1,desconocido,No,25,4.0,3,Part Time,0,20.0,3,3.0,20,11,6,1981,53914.11,0
8,41.0,no,desconocido,1712.1825396825398,desconocido,2,5,desconocido,9,2,male,69.53208262471655,3,4,manager,1,Married,13829.17,35955.83,7,desconocido,No,16,3.0,2,Full Time,1,22.0,2,3.0,18,11,8,1982,165950.0,true
9,41.0,no,travel_frequently,1973.9841269841268,desconocido,9,3,desconocido,10,1,female,69.53208262471655,3,5,research_director,3,desconocido,15943.72,41453.67,2,desconocido,No,17,3.0,2,desconocido,1,21.0,2,4.0,18,0,11,1982,53914.11,0
